Nombre completo,Correo,Estatus,Hora y fecha última conexión,Calificación
Scott Flynn,scott.flynn@example.com,Finalizado,2 de febrero de 2021 12:32,6.75
Kyle Hudson,kyle.hudson@example.com,Finalizado,4 de mayo de 2021 09:30,2.92
Brian Wright,brian.wright@example.com,Finalizado,19 de diciembre de 2023 20:19,4.53
Erin Bradley,erin.bradley@example.com,En Curso,3 de junio de 2023 08:56,8.87
Julie Hunter,julie.hunter@example.com,Finalizado,16 de septiembre de 2022 16:48,2.32
Michael Abbott,michael.abbott@example.com,Finalizado,25 de noviembre de 2024 15:08,1.46
Mary Dixon,mary.dixon@example.com,Finalizado,25 de septiembre de 2020 06:44,9.5
Chad Freeman,chad.freeman@example.com,Finalizado,27 de diciembre de 2022 00:13,3.76
Katherine Gardner,katherine.gardner@example.com,Finalizado,31 de octubre de 2020 19:39,5.06
Amber Drake,amber.drake@example.com,Finalizado,29 de julio de 2022 12:38,5.46
Ronald Evans,ronald.evans@example.com,En Curso,7 de marzo de 2020 15:15,0.08
Kelly Collins,kelly.collins@example.com,Finalizado,9 de agosto de 2020 03:14,0.05
Jamie Hinton,jamie.hinton@example.com,Finalizado,22 de mayo de 2022 00:06,4.05
James Green,james.green@example.com,Finalizado,18 de diciembre de 2022 13:11,4.09
Eric Anderson,eric.anderson@example.com,Finalizado,23 de mayo de 2023 23:57,5.24
Rachel Hayes,rachel.hayes@example.com,Finalizado,25 de julio de 2021 19:39,9.43
William Miranda,william.miranda@example.com,Finalizado,24 de marzo de 2022 21:43,5.32
Timothy Cunningham,timothy.cunningham@example.com,Finalizado,31 de octubre de 2023 21:27,1.69
Joshua Church,joshua.church@example.com,Finalizado,27 de noviembre de 2021 13:41,0.94
Laura Smith,laura.smith@example.com,Finalizado,29 de agosto de 2023 18:25,5.65
Maria Martinez,maria.martinez@example.com,Finalizado,29 de octubre de 2023 03:31,7.01
Marcus Nolan,marcus.nolan@example.com,Finalizado,7 de mayo de 2021 19:11,6.53
Aaron Jackson,aaron.jackson@example.com,Finalizado,19 de octubre de 2020 18:55,2.6
Carla Johnston,carla.johnston@example.com,Finalizado,30 de junio de 2021 01:17,1.83
Erin Mitchell,erin.mitchell@example.com,Finalizado,22 de marzo de 2023 03:18,4.97
Luis Burton,luis.burton@example.com,Finalizado,31 de julio de 2021 15:53,7.18
Jerry Brown,jerry.brown@example.com,En Curso,11 de junio de 2023 01:38,4.54
Ryan Dalton,ryan.dalton@example.com,Finalizado,16 de febrero de 2023 21:58,7.34
Emily Aguilar,emily.aguilar@example.com,Finalizado,9 de enero de 2022 16:35,2.46
Amanda Rodriguez,amanda.rodriguez@example.com,Finalizado,1 de enero de 2022 03:16,0.56
Johnathan Jones,johnathan.jones@example.com,Finalizado,30 de abril de 2024 15:51,9.36
Shannon Burgess,shannon.burgess@example.com,Finalizado,29 de diciembre de 2024 09:10,8.09
Jennifer Anderson,jennifer.anderson@example.com,Finalizado,19 de junio de 2022 15:41,6.18
Karen Shah,karen.shah@example.com,Finalizado,1 de agosto de 2022 04:59,9.48
Natalie Myers,natalie.myers@example.com,Finalizado,27 de agosto de 2021 06:41,5.86
Donald Nelson,donald.nelson@example.com,Finalizado,29 de abril de 2022 04:49,1.58
Wendy Brown,wendy.brown@example.com,Finalizado,24 de febrero de 2023 02:32,6.72
Kristy Lopez,kristy.lopez@example.com,Finalizado,20 de abril de 2022 04:14,6.99
Maria Avery,maria.avery@example.com,Finalizado,18 de marzo de 2024 01:10,7.05
Mike Freeman,mike.freeman@example.com,Finalizado,28 de noviembre de 2022 00:48,8.33
Dr. Billy Brooks,dr..billy.brooks@example.com,Finalizado,2 de julio de 2020 09:57,0.42
Todd Johnson,todd.johnson@example.com,Finalizado,7 de septiembre de 2021 03:06,3.89
Erin Brown,erin.brown@example.com,Finalizado,20 de febrero de 2024 11:48,2.27
