Nombre completo,Correo,Estatus,Hora y fecha última conexión,Calificación,LastConnetion
Aaron Anderson,aaron.anderson@example.com,Finalizado,16 de abril de 2020 20:56,0.45,2020-04-16 20:56:00
Aaron Bailey,aaron.bailey@example.com,Finalizado,21 de noviembre de 2023 10:11,7.65,2023-11-21 10:11:00
Aaron Barnes,aaron.barnes@example.com,Finalizado,4 de diciembre de 2021 05:26,2.45,2021-12-04 05:26:00
Aaron Bowers,aaron.bowers@example.com,Finalizado,4 de septiembre de 2022 09:19,8.85,2022-09-04 09:19:00
Aaron Bradford,aaron.bradford@example.com,Finalizado,18 de febrero de 2023 06:22,5.67,2023-02-18 06:22:00
Aaron Buckley,aaron.buckley@example.com,Finalizado,22 de agosto de 2023 07:25,8.69,2023-08-22 07:25:00
Aaron Campbell,aaron.campbell@example.com,Finalizado,26 de abril de 2021 04:25,5.79,2021-04-26 04:25:00
Aaron Carney,aaron.carney@example.com,Finalizado,20 de septiembre de 2021 23:51,8.66,2021-09-20 23:51:00
Aaron Clark,aaron.clark@example.com,Finalizado,7 de septiembre de 2021 21:00,6.82,2021-09-07 21:00:00
Aaron Douglas,aaron.douglas@example.com,Finalizado,25 de agosto de 2021 07:02,7.3,2021-08-25 07:02:00
Aaron Edwards,aaron.edwards@example.com,Finalizado,27 de julio de 2021 10:23,8.61,2021-07-27 10:23:00
Aaron Ellis,aaron.ellis@example.com,Finalizado,9 de septiembre de 2023 13:30,4.67,2023-09-09 13:30:00
Aaron Finley,aaron.finley@example.com,Finalizado,27 de mayo de 2022 09:09,9.33,2022-05-27 09:09:00
Aaron Fuentes,aaron.fuentes@example.com,Finalizado,24 de abril de 2022 08:59,2.81,2022-04-24 08:59:00
Aaron Henderson,aaron.henderson@example.com,Finalizado,27 de julio de 2022 04:49,4.63,2022-07-27 04:49:00
Aaron Henry,aaron.henry@example.com,Finalizado,8 de noviembre de 2024 06:22,5.84,2024-11-08 06:22:00
Aaron Hines,aaron.hines@example.com,Finalizado,8 de abril de 2023 08:17,4.91,2023-04-08 08:17:00
Aaron Jackson,aaron.jackson@example.com,Finalizado,19 de octubre de 2020 18:55,2.6,2020-10-19 18:55:00
Aaron James,aaron.james@example.com,Finalizado,8 de febrero de 2023 21:43,6.99,2023-02-08 21:43:00
Aaron Johnson,aaron.johnson@example.com,Finalizado,26 de julio de 2020 19:18,9.71,2020-07-26 19:18:00
Aaron Kelley,aaron.kelley@example.com,Finalizado,9 de agosto de 2023 08:02,9.28,2023-08-09 08:02:00
